Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 8, 1.99, 100
0, 6, 9.83, 100
0, 1, 1.26, 100
1, 12, 5.03, 100
1, 2, 1.53, 100
1, 15, 3.55, 100
1, 17, 1.76, 100
2, 6, 7.36, 100
2, 10, 8.60, 100
2, 3, 1.46, 100
3, 13, 4.20, 100
3, 14, 5.39, 100
3, 7, 5.01, 100
3, 16, 8.32, 100
3, 6, 1.81, 100
4, 13, 2.84, 100
4, 6, 1.52, 100
4, 19, 8.99, 100
4, 18, 8.30, 100
5, 7, 1.88, 100
5, 16, 8.79, 100
5, 9, 9.79, 100
6, 16, 6.61, 100
6, 10, 3.77, 100
7, 19, 2.81, 100
8, 14, 3.23, 100
8, 10, 1.59, 100
8, 16, 9.85, 100
8, 12, 8.53, 100
9, 17, 6.80, 100
9, 11, 5.80, 100
9, 19, 7.13, 100
10, 18, 4.81, 100
11, 13, 4.86, 100
11, 17, 3.46, 100
12, 19, 9.78, 100
12, 18, 1.75, 100
13, 14, 3.28, 100
13, 15, 1.90, 100
14, 16, 1.90, 100
15, 17, 8.24, 100
