Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 32, 439.17, 5
0, 40, 464.80, 5
0, 1, 298.50, 100
0, 20, 187.85, 5
0, 29, 84.54, 5
0, 47, 44.08, 5
1, 11, 284.71, 100
1, 10, 289.97, 100
1, 13, 89.16, 100
1, 34, 472.66, 5
1, 8, 78.61, 100
2, 5, 254.53, 100
2, 43, 466.48, 5
2, 42, 389.33, 5
2, 22, 135.90, 5
3, 46, 344.30, 5
3, 25, 123.32, 5
3, 31, 216.55, 5
4, 44, 209.11, 5
4, 23, 372.42, 5
4, 21, 368.02, 5
4, 48, 373.46, 5
5, 42, 202.80, 5
5, 13, 325.55, 100
5, 41, 495.88, 5
5, 15, 253.15, 100
6, 37, 284.69, 5
6, 39, 102.32, 5
6, 33, 357.66, 5
6, 27, 77.44, 5
6, 29, 390.04, 5
6, 38, 464.81, 5
7, 22, 479.96, 5
7, 13, 151.73, 100
7, 34, 345.21, 5
8, 37, 148.87, 5
8, 45, 265.03, 5
8, 32, 102.64, 5
9, 16, 238.05, 100
9, 10, 217.82, 100
9, 33, 123.27, 5
9, 24, 319.54, 5
10, 19, 396.02, 100
11, 36, 195.86, 5
11, 14, 303.93, 100
11, 30, 108.81, 5
12, 28, 298.54, 5
12, 14, 107.85, 100
12, 20, 201.27, 5
12, 42, 267.77, 5
13, 30, 51.08, 5
13, 43, 209.60, 5
13, 16, 44.82, 100
14, 23, 180.74, 5
14, 27, 134.02, 5
14, 47, 214.38, 5
14, 38, 31.48, 5
15, 30, 400.84, 5
15, 48, 75.89, 5
15, 35, 460.31, 5
15, 36, 486.97, 5
15, 18, 11.91, 100
16, 42, 254.83, 5
16, 31, 401.16, 5
16, 44, 290.29, 5
16, 29, 167.86, 5
17, 35, 377.81, 5
17, 47, 81.72, 5
17, 38, 389.62, 5
18, 48, 338.00, 5
18, 46, 90.41, 5
19, 48, 100.50, 5
19, 31, 382.26, 5
19, 25, 459.63, 5
20, 49, 238.02, 5
21, 32, 491.97, 5
21, 45, 361.58, 5
22, 39, 435.98, 5
22, 42, 182.19, 5
22, 25, 283.92, 5
22, 27, 451.71, 5
23, 27, 262.14, 5
23, 36, 223.29, 5
23, 37, 416.13, 5
23, 29, 49.80, 5
24, 39, 420.49, 5
24, 26, 194.73, 5
25, 49, 479.34, 5
25, 45, 393.04, 5
26, 38, 477.09, 5
26, 35, 67.40, 5
27, 46, 150.92, 5
27, 28, 329.28, 5
28, 35, 51.31, 5
28, 46, 231.62, 5
28, 29, 318.50, 5
28, 45, 304.68, 5
30, 41, 354.65, 5
30, 32, 24.44, 5
31, 34, 218.06, 5
32, 49, 262.25, 5
33, 36, 372.71, 5
34, 42, 242.12, 5
34, 35, 86.70, 5
36, 40, 393.04, 5
36, 44, 49.41, 5
37, 39, 54.22, 5
38, 39, 475.75, 5
40, 47, 103.59, 5
40, 45, 166.01, 5
41, 44, 121.04, 5
43, 47, 189.14, 5
44, 46, 166.14, 5
46, 48, 21.67, 5
