Action,TVL,Reserve Ratio,Swap Volume of A,Swap Volume of B,Fees collected for A,Fees collected for B,Spot Price,Slippage,LP1,LP2,LP3,LP4,LP5
0,1842314000000,2.068481800013473,0,0,0,0,2.068481800013473,0,0,640483291593,0,0,0
2,1892024420000,2.1816138103610228,24930000000,0,74790000,0,2.1816138103610228,-2.9194846147408966,0,640483291593,0,0,0
2,1901035306000,2.202443441333216,29449000000,0,88347000,0,2.202443441333216,-0.7725768496566139,0,640483291593,0,0,0
0,3066737306000,2.2024434413354457,29449000000,0,88347000,0,2.2024434413354457,0,392740025195,640483291593,0,0,0
1,3066737306000,2.2024434413354457,29449000000,0,88347000,0,2.2024434413354457,0,392740025195,640483291593,0,0,0
0,4518589306000,2.2024434413365004,29449000000,0,88347000,0,2.2024434413365004,0,392740025195,640483291593,489147647563,0,0
2,4684073360004,2.3667173832723396,112440000000,0,337320000,0,2.3667173832723396,-3.822310372962102,392740025195,640483291593,489147647563,0,0
2,5037709260008,2.737569939619256,289790000000,0,869370000,0,2.737569939619256,-7.298716560261222,392740025195,640483291593,489147647563,0,0
2,4668109661064,2.3506129461350604,289790000000,73069000000,869370000,219207000,2.3506129461350604,-7.614649994912515,392740025195,640483291593,489147647563,0,0
2,4825633667068,2.511931105506364,368789000000,73069000000,1106367000,219207000,2.511931105506364,-3.554524580182029,392740025195,640483291593,489147647563,0,0
0,5577911667068,2.511931105508432,368789000000,73069000000,1106367000,219207000,2.511931105508432,0,630065579377,640483291593,489147647563,0,0
0,6293239667068,2.511931105510408,368789000000,73069000000,1106367000,219207000,2.511931105510408,0,630065579377,640483291593,489147647563,0,225668720901
1,6089892892448,2.511931105510392,368789000000,73069000000,1106367000,219207000,2.511931105510392,0,630065579377,640483291593,489147647563,0,161517720901
0,6359174892448,2.5119311055119344,368789000000,73069000000,1106367000,219207000,2.5119311055119344,0,630065579377,640483291593,489147647563,84951972384,161517720901
0,6413940892448,2.5119311055127795,368789000000,73069000000,1106367000,219207000,2.5119311055127795,0,647342930702,640483291593,489147647563,84951972384,161517720901
2,5913226678122,2.135044210003285,368789000000,181501000000,1106367000,544503000,2.135044210003285,-8.083234676467448,647342930702,640483291593,489147647563,84951972384,161517720901
0,6841468678122,2.135044210003332,368789000000,181501000000,1106367000,544503000,2.135044210003332,0,647342930702,640483291593,489147647563,84951972384,479152305566
1,5718245732216,2.1350442100034375,368789000000,181501000000,1106367000,544503000,2.1350442100034375,0,647342930702,640483291593,104792647563,84951972384,479152305566
0,7173293732216,2.135044210004439,368789000000,181501000000,1106367000,544503000,2.135044210004439,0,647342930702,640483291593,602694667885,84951972384,479152305566
1,5585170370998,2.1350442100043865,368789000000,181501000000,1106367000,544503000,2.1350442100043865,0,647342930702,97044291593,602694667885,84951972384,479152305566
1,5436118418682,2.1350442100043976,368789000000,181501000000,1106367000,544503000,2.1350442100043976,0,647342930702,97044291593,602694667885,33947972384,479152305566
0,5442558418682,2.1350442100049563,368789000000,181501000000,1106367000,544503000,2.1350442100049563,0,647342930702,97044291593,604898367701,33947972384,479152305566
2,5127582616306,1.8950732733396012,368789000000,260031000000,1106367000,780093000,1.8950732733396012,-6.069912802158283,647342930702,97044291593,604898367701,33947972384,479152305566
2,4764245293538,1.6360211014696329,368789000000,363516000000,1106367000,1090548000,1.6360211014696329,-7.364680140670207,647342930702,97044291593,604898367701,33947972384,479152305566
0,5764123293538,1.6360211014700703,368789000000,363516000000,1106367000,1090548000,1.6360211014700703,0,647342930702,487905496702,604898367701,33947972384,479152305566
2,5545384146324,1.514208397763982,368789000000,433213000000,1106367000,1299639000,1.514208397763982,-4.083453591129074,647342930702,487905496702,604898367701,33947972384,479152305566
2,5608552072328,1.548901820830758,400468000000,433213000000,1201404000,1299639000,1.548901820830758,-1.422899839036449,647342930702,487905496702,604898367701,33947972384,479152305566
2,5443674706956,1.459172743053578,400468000000,488214000000,1201404000,1464642000,1.459172743053578,-3.230929964305817,647342930702,487905496702,604898367701,33947972384,479152305566
1,5418643313678,1.4591727430536308,400468000000,488214000000,1201404000,1464642000,1.4591727430536308,0,636981930702,487905496702,604898367701,33947972384,479152305566
1,4758982389014,1.4591727430535804,400468000000,488214000000,1201404000,1464642000,1.4591727430535804,0,363934930702,487905496702,604898367701,33947972384,479152305566
1,4422345059530,1.4591727430536348,400468000000,488214000000,1201404000,1464642000,1.4591727430536348,0,224593930702,487905496702,604898367701,33947972384,479152305566
1,4354498653062,1.4591727430541015,400468000000,488214000000,1201404000,1464642000,1.4591727430541015,0,224593930702,487905496702,604898367701,5864972384,479152305566
