Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 41, 35.41, 5
0, 36, 240.91, 5
0, 26, 216.24, 5
0, 29, 449.55, 5
1, 32, 237.62, 5
1, 11, 413.52, 100
1, 10, 137.07, 100
1, 46, 139.89, 5
1, 26, 271.21, 5
1, 48, 479.61, 5
2, 12, 147.16, 100
2, 5, 191.59, 100
2, 38, 475.04, 5
2, 20, 85.12, 5
2, 22, 68.24, 5
3, 11, 285.43, 100
3, 46, 102.61, 5
3, 10, 430.31, 100
3, 29, 10.50, 5
4, 45, 108.54, 5
4, 24, 52.24, 5
4, 13, 151.64, 100
4, 6, 464.83, 100
4, 47, 51.24, 5
5, 43, 316.21, 5
5, 13, 152.01, 100
5, 22, 416.56, 5
5, 44, 260.33, 5
5, 24, 57.26, 5
6, 25, 26.23, 5
6, 39, 162.28, 5
7, 38, 226.15, 5
7, 12, 226.86, 100
7, 36, 137.86, 5
7, 18, 30.50, 100
7, 17, 496.52, 100
8, 37, 458.66, 5
8, 43, 244.31, 5
8, 44, 109.53, 5
9, 37, 231.17, 5
9, 41, 406.29, 5
9, 15, 59.51, 100
9, 36, 447.07, 5
9, 33, 225.83, 5
10, 21, 275.25, 5
10, 34, 184.47, 5
11, 37, 27.82, 5
11, 14, 366.33, 100
12, 28, 398.72, 5
13, 15, 136.23, 100
13, 46, 407.97, 5
13, 22, 276.43, 5
13, 16, 123.99, 100
14, 23, 405.49, 5
14, 28, 376.87, 5
14, 27, 450.77, 5
14, 25, 207.70, 5
14, 33, 285.41, 5
15, 28, 166.91, 5
15, 23, 465.15, 5
16, 42, 326.40, 5
16, 23, 460.21, 5
16, 38, 417.64, 5
16, 43, 347.16, 5
16, 41, 130.78, 5
17, 30, 403.03, 5
17, 22, 414.99, 5
17, 38, 227.59, 5
18, 35, 189.72, 5
18, 48, 135.24, 5
18, 23, 470.83, 5
19, 32, 159.02, 5
19, 21, 379.24, 5
19, 34, 236.63, 5
19, 47, 86.49, 5
20, 49, 327.81, 5
20, 40, 262.27, 5
20, 41, 490.98, 5
21, 32, 238.09, 5
21, 45, 129.15, 5
21, 48, 211.16, 5
21, 44, 134.05, 5
22, 40, 104.75, 5
23, 24, 483.18, 5
24, 30, 57.52, 5
24, 47, 10.31, 5
25, 49, 446.86, 5
25, 40, 342.14, 5
25, 34, 170.87, 5
26, 48, 112.48, 5
26, 29, 472.09, 5
27, 39, 406.55, 5
27, 42, 467.80, 5
27, 30, 110.41, 5
29, 35, 470.02, 5
29, 43, 308.30, 5
30, 32, 345.72, 5
30, 31, 279.00, 5
31, 42, 56.38, 5
31, 33, 377.71, 5
31, 47, 496.50, 5
31, 34, 357.49, 5
31, 35, 248.69, 5
32, 49, 90.43, 5
32, 41, 466.07, 5
33, 49, 341.75, 5
34, 43, 203.99, 5
35, 49, 185.50, 5
35, 39, 254.17, 5
36, 41, 271.85, 5
36, 45, 162.91, 5
37, 39, 154.61, 5
40, 46, 383.21, 5
43, 48, 280.49, 5
44, 47, 453.58, 5
44, 46, 46.33, 5
44, 45, 313.13, 5
47, 49, 43.09, 5
