Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 13, 9.66, 100
0, 4, 3.53, 100
0, 16, 3.43, 100
0, 15, 3.78, 100
1, 18, 4.55, 100
1, 3, 3.61, 100
1, 4, 1.66, 100
1, 11, 8.95, 100
1, 2, 1.99, 100
1, 6, 5.64, 100
2, 17, 1.49, 100
2, 13, 5.64, 100
2, 8, 4.87, 100
2, 7, 5.32, 100
3, 18, 6.00, 100
3, 10, 1.73, 100
3, 5, 8.87, 100
3, 19, 1.99, 100
3, 14, 4.37, 100
4, 15, 2.34, 100
4, 11, 6.51, 100
4, 17, 5.54, 100
4, 6, 3.43, 100
5, 11, 4.13, 100
5, 13, 6.67, 100
6, 9, 5.68, 100
6, 15, 8.27, 100
6, 13, 4.28, 100
7, 14, 9.26, 100
7, 19, 5.59, 100
7, 12, 1.47, 100
8, 19, 6.77, 100
8, 12, 4.83, 100
8, 18, 4.47, 100
8, 10, 1.28, 100
9, 15, 3.73, 100
9, 12, 9.29, 100
10, 12, 5.47, 100
10, 19, 1.72, 100
11, 17, 7.24, 100
12, 16, 9.00, 100
12, 13, 1.65, 100
13, 18, 4.45, 100
14, 16, 4.46, 100
14, 15, 6.73, 100
15, 17, 9.92, 100
17, 18, 4.76, 100
18, 19, 3.46, 100
