BlockId, ParentId, creatorId, Arrival Time, Cpu-Type, Network-Type, Block-Size
0, -1, -1, 0.00, 1, 1, 8
13, 0, 12, 0.76, 1, 1, 8
30, 13, 8, 4.05, 1, 1, 8
46, 13, 14, 4.16, 1, 1, 8
62, 46, 19, 4.95, 1, 0, 24
65, 46, 5, 5.17, 1, 1, 24
68, 30, 22, 5.29, 1, 1, 24
100, 62, 11, 6.08, 1, 0, 24
107, 100, 8, 7.84, 1, 1, 112
130, 107, 24, 10.16, 1, 1, 184
153, 130, 22, 12.68, 1, 1, 432
174, 130, 14, 13.94, 1, 1, 432
195, 153, 11, 16.21, 1, 0, 640
206, 195, 8, 16.25, 1, 1, 808
201, 195, 11, 16.51, 1, 0, 840
202, 201, 11, 17.08, 1, 0, 656
250, 206, 0, 17.67, 1, 0, 880
267, 202, 3, 18.70, 1, 0, 840
257, 250, 0, 19.70, 1, 0, 720
297, 267, 7, 20.45, 1, 0, 800
276, 267, 3, 20.93, 1, 0, 888
303, 297, 22, 21.57, 1, 1, 720
301, 297, 7, 21.70, 1, 0, 656
323, 297, 12, 21.76, 1, 1, 728
339, 303, 17, 22.02, 0, 0, 744
365, 339, 6, 26.01, 1, 0, 720
383, 365, 8, 27.96, 1, 1, 792
377, 365, 22, 28.10, 1, 1, 824
389, 365, 7, 28.22, 1, 0, 808
401, 389, 7, 28.26, 1, 0, 792
440, 401, 3, 32.12, 1, 0, 752
452, 440, 1, 32.71, 0, 0, 768
474, 452, 21, 33.06, 0, 1, 776
486, 452, 8, 33.07, 1, 1, 736
477, 440, 6, 33.30, 1, 0, 784
503, 474, 3, 33.68, 1, 0, 672
535, 503, 23, 34.08, 0, 1, 656
530, 486, 0, 34.30, 1, 0, 768
556, 535, 22, 34.76, 1, 1, 688
592, 556, 15, 34.95, 1, 1, 680
564, 535, 6, 35.04, 1, 0, 696
565, 535, 5, 35.11, 1, 1, 736
585, 535, 14, 35.90, 1, 1, 720
614, 592, 3, 36.47, 1, 0, 608
645, 614, 12, 39.37, 1, 1, 696
629, 614, 19, 39.74, 1, 0, 608
672, 645, 6, 41.45, 1, 0, 840
651, 629, 19, 41.72, 1, 0, 840
691, 672, 5, 42.29, 1, 1, 808
722, 691, 15, 42.48, 1, 1, 664
713, 691, 16, 42.90, 1, 1, 664
733, 713, 24, 44.51, 1, 1, 704
734, 713, 10, 44.76, 0, 0, 688
763, 734, 12, 46.81, 1, 1, 728
783, 763, 24, 48.10, 1, 1, 728
808, 783, 17, 49.48, 0, 0, 672
840, 808, 6, 50.70, 1, 0, 768
862, 840, 7, 51.79, 1, 0, 680
895, 862, 15, 52.22, 1, 1, 672
890, 862, 5, 53.38, 1, 1, 696
876, 862, 16, 53.43, 1, 1, 640
913, 876, 7, 54.55, 1, 0, 664
923, 895, 11, 54.61, 1, 0, 736
927, 913, 16, 54.82, 1, 1, 680
934, 927, 7, 55.53, 1, 0, 648
976, 934, 22, 56.25, 1, 1, 744
1018, 976, 12, 58.49, 1, 1, 856
1030, 1018, 20, 59.66, 0, 1, 808
1020, 976, 11, 60.04, 1, 0, 800
1049, 1018, 14, 61.11, 1, 1, 856
1072, 1030, 19, 61.14, 1, 0, 768
1076, 1072, 3, 63.18, 1, 0, 576
1122, 1076, 6, 66.11, 1, 0, 968
1127, 1122, 18, 66.42, 1, 1, 1000
1172, 1127, 11, 68.28, 1, 0, 792
1179, 1172, 8, 68.81, 1, 1, 744
1189, 1172, 3, 69.40, 1, 0, 824
1192, 1172, 5, 69.60, 1, 1, 792
1207, 1189, 3, 71.60, 1, 0, 736
1238, 1207, 22, 72.34, 1, 1, 912
1249, 1238, 22, 72.39, 1, 1, 760
1247, 1207, 6, 72.76, 1, 0, 912
1251, 1207, 0, 73.34, 1, 0, 856
1283, 1249, 16, 74.10, 1, 1, 680
1301, 1283, 19, 76.30, 1, 0, 760
1323, 1301, 3, 76.94, 1, 0, 872
1340, 1301, 22, 77.12, 1, 1, 864
1355, 1340, 24, 77.96, 1, 1, 704
1353, 1323, 14, 78.89, 1, 1, 664
1395, 1355, 0, 80.33, 1, 0, 800
1403, 1395, 18, 81.10, 1, 1, 768
1399, 1395, 16, 81.45, 1, 1, 728
1435, 1403, 17, 81.58, 0, 0, 664
1464, 1435, 12, 81.99, 1, 1, 664
1453, 1435, 22, 82.47, 1, 1, 608
1459, 1435, 6, 82.63, 1, 0, 624
1482, 1464, 8, 83.34, 1, 1, 616
1493, 1464, 0, 84.24, 1, 0, 640
1490, 1464, 16, 84.35, 1, 1, 632
1514, 1490, 16, 84.93, 1, 1, 664
1528, 1514, 24, 85.44, 1, 1, 760
1535, 1514, 3, 85.56, 1, 0, 760
1545, 1528, 24, 87.97, 1, 1, 600
1569, 1528, 11, 88.70, 1, 0, 680
1561, 1535, 14, 89.03, 1, 1, 568
1580, 1545, 6, 90.32, 1, 0, 824
1583, 1545, 5, 90.81, 1, 1, 824
1617, 1583, 0, 91.65, 1, 0, 960
1636, 1617, 15, 92.22, 1, 1, 696
1620, 1617, 0, 92.61, 1, 0, 648
1653, 1620, 7, 93.47, 1, 0, 704
1682, 1653, 19, 94.35, 1, 0, 760
1711, 1682, 18, 95.38, 1, 1, 784
1726, 1711, 8, 95.51, 1, 1, 736
1764, 1726, 7, 98.03, 1, 0, 688
1779, 1764, 6, 99.34, 1, 0, 848
