Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 39, 189.74, 5
0, 14, 82.76, 100
0, 33, 481.47, 5
0, 25, 127.70, 5
1, 30, 273.05, 5
1, 10, 37.51, 100
1, 9, 219.85, 100
1, 11, 469.80, 100
1, 6, 407.83, 100
1, 4, 25.50, 100
2, 5, 280.13, 100
2, 25, 471.61, 5
2, 31, 50.65, 5
2, 26, 392.88, 5
2, 16, 306.24, 100
3, 44, 409.15, 5
3, 22, 306.20, 5
3, 9, 18.81, 100
3, 11, 386.30, 100
3, 10, 252.52, 100
3, 13, 222.61, 100
4, 41, 79.28, 5
4, 43, 227.22, 5
4, 32, 262.41, 5
5, 11, 453.97, 100
5, 36, 341.60, 5
5, 23, 435.66, 5
5, 46, 499.60, 5
5, 16, 228.02, 100
6, 45, 310.61, 5
6, 36, 496.09, 5
6, 41, 54.09, 5
6, 28, 432.34, 5
6, 24, 230.73, 5
7, 36, 343.90, 5
7, 13, 24.57, 100
7, 45, 99.41, 5
8, 18, 226.62, 100
8, 35, 18.50, 5
8, 39, 63.13, 5
8, 42, 33.14, 5
8, 23, 375.05, 5
9, 12, 298.59, 100
10, 35, 130.51, 5
10, 13, 148.28, 100
10, 45, 234.87, 5
10, 17, 336.48, 100
11, 25, 44.35, 5
11, 42, 60.88, 5
11, 28, 36.69, 5
12, 21, 123.93, 5
12, 25, 90.64, 5
12, 28, 305.60, 5
12, 24, 465.87, 5
13, 29, 238.58, 5
13, 38, 422.39, 5
13, 24, 275.61, 5
14, 20, 159.10, 5
14, 47, 337.95, 5
14, 15, 200.74, 100
14, 43, 283.87, 5
14, 19, 330.23, 100
15, 47, 406.31, 5
15, 26, 475.12, 5
16, 34, 34.34, 5
16, 17, 58.39, 100
16, 18, 191.16, 100
16, 38, 470.88, 5
17, 48, 325.13, 5
17, 30, 373.08, 5
17, 49, 459.77, 5
17, 35, 85.93, 5
18, 30, 402.64, 5
18, 44, 455.10, 5
19, 38, 288.82, 5
19, 20, 440.49, 5
19, 28, 477.12, 5
20, 22, 226.18, 5
21, 34, 389.74, 5
21, 32, 394.84, 5
21, 45, 148.92, 5
22, 27, 415.44, 5
23, 49, 29.72, 5
23, 45, 210.76, 5
23, 40, 58.66, 5
24, 37, 264.13, 5
24, 27, 105.52, 5
25, 36, 446.69, 5
26, 33, 39.46, 5
26, 34, 262.49, 5
27, 31, 428.47, 5
28, 31, 274.95, 5
29, 40, 404.63, 5
29, 47, 407.94, 5
30, 49, 205.16, 5
30, 48, 436.54, 5
30, 44, 316.07, 5
32, 34, 485.84, 5
33, 42, 322.14, 5
33, 48, 153.40, 5
34, 39, 25.76, 5
35, 39, 310.53, 5
35, 37, 327.40, 5
36, 45, 203.58, 5
37, 38, 25.12, 5
38, 42, 229.32, 5
40, 43, 24.18, 5
40, 46, 89.32, 5
40, 48, 201.46, 5
41, 46, 477.68, 5
42, 47, 160.33, 5
43, 46, 10.12, 5
