Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 12, 6.26, 100
0, 4, 9.20, 100
0, 16, 4.76, 100
0, 15, 1.09, 100
1, 4, 9.63, 100
1, 3, 5.18, 100
1, 8, 2.91, 100
1, 12, 7.02, 100
2, 17, 1.41, 100
2, 13, 3.67, 100
2, 4, 1.53, 100
2, 14, 8.35, 100
2, 7, 4.28, 100
2, 10, 9.17, 100
3, 7, 8.12, 100
3, 19, 5.34, 100
4, 14, 1.96, 100
4, 15, 2.79, 100
4, 9, 7.40, 100
5, 10, 6.71, 100
5, 14, 4.17, 100
5, 16, 5.28, 100
6, 9, 4.32, 100
6, 16, 5.58, 100
6, 12, 4.08, 100
6, 18, 7.09, 100
6, 11, 9.62, 100
7, 13, 8.06, 100
7, 19, 2.35, 100
7, 9, 6.37, 100
7, 11, 1.87, 100
8, 17, 6.87, 100
8, 10, 1.21, 100
9, 17, 9.11, 100
9, 12, 4.50, 100
9, 13, 7.64, 100
10, 19, 5.12, 100
10, 12, 1.68, 100
10, 18, 8.10, 100
11, 15, 6.03, 100
11, 18, 9.15, 100
11, 17, 8.56, 100
13, 15, 6.18, 100
13, 19, 4.67, 100
15, 17, 4.74, 100
17, 19, 2.87, 100
