Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 41, 477.26, 5
0, 37, 300.46, 5
0, 40, 472.26, 5
1, 31, 188.11, 5
1, 15, 368.09, 5
1, 46, 285.11, 5
2, 11, 316.29, 100
2, 10, 422.96, 100
2, 5, 247.18, 100
2, 30, 438.57, 5
2, 38, 195.32, 5
2, 39, 282.95, 5
3, 43, 128.81, 5
3, 9, 368.76, 100
3, 21, 242.13, 5
4, 44, 195.16, 5
4, 23, 354.44, 5
4, 11, 423.95, 100
4, 7, 123.01, 100
4, 27, 127.22, 5
5, 43, 419.78, 5
5, 19, 404.16, 5
5, 33, 65.33, 5
6, 12, 157.70, 100
6, 37, 314.01, 5
6, 9, 162.20, 100
6, 47, 82.71, 5
6, 45, 483.79, 5
6, 25, 96.55, 5
7, 29, 171.73, 5
7, 44, 89.09, 5
7, 27, 282.66, 5
8, 37, 441.26, 5
8, 45, 86.81, 5
8, 40, 440.90, 5
8, 20, 39.29, 5
9, 16, 14.42, 5
9, 25, 233.53, 5
10, 14, 89.90, 100
10, 45, 447.58, 5
10, 44, 35.71, 5
11, 36, 207.24, 5
11, 17, 245.72, 5
11, 16, 450.11, 5
12, 27, 263.47, 5
12, 14, 214.39, 100
12, 29, 353.12, 5
12, 44, 60.42, 5
13, 22, 99.69, 5
13, 26, 23.39, 5
13, 46, 444.55, 5
14, 15, 342.09, 5
14, 43, 280.21, 5
14, 38, 104.78, 5
14, 17, 111.29, 5
15, 30, 415.49, 5
15, 48, 371.35, 5
15, 47, 474.67, 5
15, 35, 294.28, 5
16, 47, 354.93, 5
16, 18, 95.27, 5
16, 32, 67.33, 5
17, 34, 319.08, 5
17, 22, 302.88, 5
17, 48, 344.54, 5
17, 40, 132.15, 5
18, 48, 329.23, 5
18, 31, 103.22, 5
18, 49, 80.84, 5
18, 32, 437.87, 5
19, 31, 230.53, 5
19, 45, 158.04, 5
19, 43, 13.06, 5
20, 21, 80.87, 5
20, 24, 236.82, 5
21, 39, 363.45, 5
21, 22, 277.21, 5
22, 26, 408.79, 5
22, 23, 153.06, 5
23, 40, 169.86, 5
24, 49, 429.31, 5
24, 28, 57.96, 5
25, 38, 27.69, 5
25, 35, 26.69, 5
26, 29, 448.17, 5
26, 30, 68.66, 5
27, 36, 418.71, 5
27, 46, 365.10, 5
28, 34, 132.08, 5
28, 42, 422.93, 5
28, 35, 60.81, 5
29, 42, 321.21, 5
29, 32, 319.71, 5
29, 33, 245.03, 5
31, 49, 218.37, 5
32, 35, 52.60, 5
32, 37, 229.89, 5
32, 36, 223.89, 5
33, 43, 346.84, 5
34, 39, 331.87, 5
36, 40, 93.95, 5
41, 44, 17.43, 5
41, 46, 267.06, 5
42, 48, 383.83, 5
43, 47, 328.47, 5
44, 47, 365.94, 5
46, 47, 308.33, 5
