Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 40, 200.32, 5
0, 36, 494.05, 5
0, 17, 295.02, 5
0, 44, 297.00, 5
0, 18, 170.06, 5
1, 32, 453.73, 5
1, 12, 475.62, 5
1, 11, 387.08, 5
2, 13, 314.85, 5
2, 27, 405.34, 5
2, 47, 342.18, 5
2, 15, 170.32, 5
3, 5, 384.83, 100
3, 30, 248.81, 5
3, 21, 361.89, 5
4, 16, 154.56, 5
4, 37, 495.26, 5
4, 32, 205.44, 5
4, 47, 195.84, 5
5, 45, 290.27, 5
5, 47, 60.22, 5
5, 27, 51.99, 5
6, 42, 182.27, 5
6, 13, 457.15, 5
6, 11, 156.68, 5
6, 19, 330.09, 5
6, 24, 54.18, 5
7, 21, 275.60, 5
7, 14, 399.29, 5
7, 44, 211.36, 5
7, 9, 165.01, 100
8, 30, 59.01, 5
8, 23, 63.09, 5
8, 37, 462.15, 5
9, 37, 121.66, 5
9, 46, 402.43, 5
9, 41, 380.26, 5
9, 31, 174.10, 5
10, 24, 413.01, 5
10, 36, 89.42, 5
10, 20, 431.53, 5
10, 23, 292.99, 5
11, 49, 176.05, 5
11, 15, 225.11, 5
11, 33, 115.53, 5
12, 37, 329.66, 5
12, 27, 94.65, 5
13, 28, 27.80, 5
13, 15, 413.30, 5
13, 21, 227.22, 5
14, 27, 73.90, 5
14, 30, 359.87, 5
14, 33, 426.23, 5
14, 43, 488.42, 5
14, 48, 88.97, 5
15, 26, 493.89, 5
15, 42, 405.57, 5
15, 19, 30.08, 5
16, 44, 441.80, 5
16, 42, 367.29, 5
16, 38, 277.87, 5
16, 46, 228.09, 5
17, 48, 352.67, 5
17, 22, 414.61, 5
17, 38, 31.90, 5
17, 35, 445.41, 5
18, 35, 21.67, 5
18, 36, 332.95, 5
18, 38, 361.76, 5
19, 32, 64.16, 5
19, 21, 360.16, 5
20, 48, 123.36, 5
20, 46, 372.29, 5
20, 34, 476.32, 5
20, 39, 139.65, 5
20, 26, 151.09, 5
21, 23, 436.94, 5
21, 39, 86.57, 5
22, 33, 109.67, 5
22, 24, 86.72, 5
23, 38, 129.72, 5
23, 45, 461.96, 5
24, 46, 419.13, 5
25, 48, 432.75, 5
25, 28, 485.08, 5
25, 37, 134.78, 5
26, 38, 54.90, 5
28, 36, 280.77, 5
28, 29, 457.74, 5
28, 39, 308.95, 5
29, 34, 331.89, 5
29, 45, 236.96, 5
29, 32, 414.56, 5
31, 41, 198.01, 5
31, 33, 336.57, 5
31, 39, 43.50, 5
31, 34, 424.18, 5
32, 49, 66.44, 5
32, 35, 266.77, 5
33, 42, 372.83, 5
33, 49, 89.76, 5
34, 42, 439.09, 5
34, 49, 430.83, 5
37, 40, 229.13, 5
39, 41, 442.07, 5
40, 48, 75.92, 5
41, 48, 53.60, 5
41, 45, 223.23, 5
42, 45, 29.58, 5
43, 47, 232.47, 5
43, 46, 107.01, 5
