Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 40, 255.87, 5
0, 43, 357.92, 5
0, 32, 57.75, 5
0, 28, 490.43, 5
1, 31, 242.24, 5
1, 11, 58.25, 100
1, 10, 359.22, 100
1, 18, 254.79, 5
1, 48, 407.50, 5
2, 12, 350.42, 100
2, 37, 71.06, 5
2, 9, 121.99, 100
2, 23, 387.14, 5
2, 36, 218.78, 5
3, 22, 491.66, 5
3, 13, 464.64, 100
3, 14, 93.64, 100
3, 46, 87.40, 5
3, 44, 424.77, 5
4, 44, 207.85, 5
4, 25, 410.78, 5
4, 40, 399.79, 5
4, 27, 38.47, 5
5, 42, 385.33, 5
5, 13, 284.55, 100
5, 24, 357.06, 5
5, 16, 79.99, 5
6, 30, 368.53, 5
6, 32, 145.98, 5
6, 26, 234.29, 5
6, 43, 284.03, 5
6, 17, 371.35, 5
6, 40, 408.53, 5
7, 38, 464.68, 5
7, 36, 349.37, 5
7, 20, 338.98, 5
8, 36, 316.73, 5
8, 38, 211.49, 5
8, 13, 40.40, 100
8, 42, 423.61, 5
8, 17, 462.26, 5
9, 22, 192.02, 5
9, 32, 225.23, 5
10, 37, 103.55, 5
10, 40, 482.01, 5
10, 16, 437.97, 5
11, 14, 107.35, 100
11, 15, 432.07, 5
11, 35, 174.68, 5
12, 36, 319.42, 5
12, 27, 309.06, 5
12, 15, 370.83, 5
12, 22, 116.43, 5
12, 41, 434.83, 5
13, 22, 362.59, 5
14, 15, 401.35, 5
14, 45, 27.25, 5
14, 44, 387.91, 5
15, 28, 419.01, 5
16, 25, 28.74, 5
16, 27, 370.81, 5
16, 20, 240.58, 5
16, 30, 95.97, 5
17, 43, 454.76, 5
17, 23, 222.00, 5
17, 34, 239.70, 5
18, 35, 368.29, 5
18, 47, 351.12, 5
19, 31, 139.24, 5
19, 29, 173.83, 5
19, 38, 26.34, 5
19, 28, 112.65, 5
19, 33, 398.00, 5
19, 21, 271.70, 5
20, 48, 457.44, 5
20, 21, 482.50, 5
20, 33, 409.43, 5
20, 28, 55.48, 5
21, 45, 418.61, 5
21, 48, 309.24, 5
21, 27, 339.25, 5
21, 42, 301.74, 5
22, 26, 230.49, 5
23, 47, 92.86, 5
23, 24, 334.60, 5
23, 28, 399.28, 5
24, 29, 221.28, 5
24, 46, 372.39, 5
24, 36, 126.20, 5
25, 39, 332.16, 5
25, 38, 466.25, 5
26, 35, 237.48, 5
26, 39, 200.73, 5
26, 41, 92.00, 5
26, 47, 402.06, 5
28, 34, 365.75, 5
29, 32, 388.61, 5
29, 46, 386.69, 5
29, 30, 472.76, 5
30, 41, 290.38, 5
30, 33, 131.07, 5
31, 35, 296.28, 5
32, 49, 302.00, 5
33, 49, 160.22, 5
34, 42, 182.58, 5
35, 48, 28.95, 5
35, 43, 315.23, 5
36, 39, 451.84, 5
37, 47, 114.72, 5
38, 39, 41.79, 5
38, 46, 441.96, 5
39, 44, 495.22, 5
41, 44, 281.76, 5
42, 47, 174.70, 5
43, 45, 347.33, 5
43, 44, 73.47, 5
47, 49, 338.11, 5
