Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 1, 4.43, 100
0, 8, 7.93, 100
0, 7, 8.27, 100
0, 13, 4.73, 100
0, 2, 7.21, 100
0, 12, 6.90, 100
1, 10, 5.79, 100
1, 6, 8.38, 100
1, 5, 2.14, 100
2, 3, 5.33, 100
2, 4, 8.75, 100
2, 6, 7.54, 100
2, 10, 3.36, 100
3, 11, 6.56, 100
3, 10, 6.13, 100
3, 9, 1.64, 100
3, 14, 8.29, 100
3, 13, 8.66, 100
4, 12, 2.38, 100
4, 11, 2.05, 100
5, 12, 4.93, 100
5, 9, 9.56, 100
6, 8, 8.26, 100
6, 11, 5.25, 100
6, 14, 9.35, 100
7, 8, 7.53, 100
7, 12, 5.68, 100
8, 14, 2.40, 100
8, 12, 5.60, 100
8, 9, 7.61, 100
12, 13, 5.11, 100
