Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 18, 62.67, 5
0, 6, 192.64, 5
0, 40, 242.11, 5
0, 42, 499.40, 5
0, 28, 100.46, 5
1, 10, 128.17, 5
1, 37, 28.93, 5
1, 24, 173.48, 5
1, 16, 50.67, 5
2, 21, 441.98, 5
2, 36, 176.87, 5
2, 17, 246.05, 5
2, 11, 492.14, 5
3, 48, 29.21, 5
3, 15, 276.20, 5
3, 34, 419.69, 5
3, 9, 102.36, 5
3, 39, 349.64, 5
4, 6, 170.03, 5
4, 41, 189.00, 5
4, 8, 82.87, 5
4, 7, 393.39, 5
4, 26, 163.36, 5
5, 11, 442.67, 5
5, 42, 107.96, 5
5, 41, 235.02, 5
5, 45, 498.95, 5
5, 47, 148.83, 5
6, 13, 233.82, 5
6, 36, 23.18, 5
6, 48, 469.34, 5
6, 29, 63.15, 5
7, 37, 181.20, 5
7, 31, 295.43, 5
7, 9, 421.13, 5
7, 43, 180.18, 5
8, 19, 122.62, 5
8, 9, 203.04, 5
9, 30, 323.40, 5
9, 10, 490.13, 5
9, 42, 147.41, 5
10, 49, 35.12, 5
10, 30, 130.45, 5
10, 13, 444.96, 5
10, 36, 10.34, 5
11, 31, 237.51, 5
11, 17, 133.37, 5
11, 29, 361.64, 5
12, 39, 461.58, 5
12, 30, 492.04, 5
12, 25, 105.18, 5
13, 34, 244.97, 5
13, 18, 408.33, 5
14, 19, 306.99, 5
14, 48, 446.35, 5
14, 24, 437.32, 5
14, 47, 369.01, 5
14, 17, 404.71, 5
14, 33, 132.43, 5
15, 23, 36.78, 5
15, 27, 303.42, 5
16, 18, 197.89, 5
16, 27, 34.90, 5
17, 48, 448.58, 5
17, 21, 430.39, 5
17, 23, 293.88, 5
19, 23, 170.49, 5
19, 43, 22.16, 5
19, 30, 461.31, 5
20, 40, 486.62, 5
20, 33, 286.68, 5
20, 29, 78.09, 5
21, 46, 471.89, 5
22, 27, 287.42, 5
22, 31, 388.32, 5
22, 38, 40.20, 5
22, 32, 153.86, 5
23, 43, 150.29, 5
23, 24, 452.95, 5
23, 46, 197.00, 5
24, 32, 298.12, 5
25, 30, 288.27, 5
25, 44, 348.09, 5
25, 31, 357.78, 5
25, 26, 200.41, 5
26, 33, 422.19, 5
27, 47, 40.47, 5
28, 39, 231.04, 5
28, 32, 78.41, 5
28, 35, 91.42, 5
29, 43, 424.07, 5
29, 34, 294.92, 5
30, 49, 447.18, 5
31, 46, 71.58, 5
32, 45, 29.41, 5
34, 39, 359.56, 5
34, 46, 215.75, 5
35, 39, 161.88, 5
35, 43, 405.27, 5
35, 49, 302.45, 5
35, 36, 356.01, 5
36, 44, 485.19, 5
36, 41, 70.67, 5
37, 40, 353.74, 5
38, 49, 485.85, 5
38, 44, 472.41, 5
39, 44, 94.50, 5
41, 43, 303.41, 5
45, 48, 12.26, 5
45, 49, 491.82, 5
46, 48, 353.54, 5
