PeerId,CPUType,NetworkType
0,1,1
1,0,0
2,1,1
3,0,1
4,0,0
5,0,1
6,0,1
7,1,0
8,1,0
9,1,0
10,1,1
11,1,1
12,1,1
13,1,1
14,1,0
15,1,1
16,1,0
17,1,0
18,1,1
19,1,1
20,1,1
21,0,1
22,1,1
23,0,0
24,1,0
25,1,1
26,0,0
27,1,1
28,0,1
29,1,1
30,1,0
31,1,0
32,1,1
33,0,1
34,1,0
35,1,0
36,1,0
37,1,0
38,0,1
39,0,0
40,0,0
41,1,0
42,1,1
43,0,1
44,1,1
45,1,0
46,0,1
47,1,1
48,1,0
49,1,0
50,1,1
51,0,1
52,0,1
53,0,0
54,1,1
55,1,1
56,0,0
57,0,1
58,1,1
59,1,1
60,0,0
61,0,1
62,1,0
63,1,1
64,0,1
65,1,1
66,0,1
67,0,1
68,0,0
69,0,0
70,0,1
71,1,1
72,0,1
73,0,1
74,0,1
75,0,1
76,0,1
77,1,1
78,1,0
79,0,0
80,1,1
81,0,1
82,0,0
83,1,0
84,0,1
85,1,0
86,0,1
87,1,1
88,1,1
89,1,0
90,0,0
91,0,0
92,1,1
93,1,0
94,1,1
95,1,1
96,1,0
97,1,0
98,1,1
99,1,1
