Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 40, 196.94, 5
0, 43, 415.54, 5
0, 26, 405.68, 5
0, 32, 184.11, 5
0, 19, 436.27, 5
0, 34, 63.82, 5
1, 31, 175.86, 5
1, 11, 242.49, 5
1, 10, 438.49, 5
1, 46, 225.03, 5
2, 12, 355.25, 5
2, 36, 411.11, 5
2, 10, 108.53, 5
2, 22, 135.60, 5
2, 38, 316.57, 5
2, 28, 10.13, 5
3, 22, 357.25, 5
3, 11, 329.81, 5
3, 13, 470.01, 5
3, 23, 332.93, 5
4, 44, 182.81, 5
4, 25, 14.99, 5
4, 24, 77.84, 5
4, 45, 294.65, 5
4, 23, 426.80, 5
5, 42, 333.83, 5
5, 12, 213.24, 5
5, 19, 292.89, 5
6, 30, 477.53, 5
6, 42, 407.27, 5
6, 7, 382.03, 5
6, 39, 224.99, 5
7, 32, 482.33, 5
7, 37, 147.81, 5
7, 25, 440.72, 5
7, 35, 297.49, 5
7, 19, 340.00, 5
8, 36, 97.81, 5
8, 12, 288.19, 5
8, 42, 177.06, 5
8, 34, 329.52, 5
8, 37, 93.52, 5
9, 36, 219.24, 5
9, 40, 241.98, 5
9, 15, 252.66, 5
9, 35, 322.98, 5
9, 18, 153.74, 5
9, 12, 199.82, 5
10, 14, 303.01, 5
10, 21, 294.25, 5
11, 36, 13.38, 5
11, 14, 496.96, 5
11, 21, 364.94, 5
12, 27, 359.47, 5
12, 14, 17.04, 5
13, 14, 384.64, 5
13, 44, 329.86, 5
13, 36, 446.27, 5
13, 38, 431.94, 5
14, 28, 169.85, 5
15, 25, 403.19, 5
15, 27, 69.94, 5
15, 44, 368.18, 5
15, 45, 391.12, 5
15, 39, 292.99, 5
16, 43, 28.56, 5
16, 41, 280.04, 5
16, 27, 69.79, 5
16, 20, 324.61, 5
17, 34, 313.47, 5
17, 48, 439.77, 5
17, 23, 349.75, 5
17, 37, 334.23, 5
18, 28, 468.81, 5
18, 33, 26.77, 5
18, 35, 263.92, 5
18, 23, 313.37, 5
19, 48, 130.58, 5
19, 30, 12.34, 5
19, 21, 118.73, 5
20, 45, 187.33, 5
20, 49, 247.89, 5
20, 33, 111.02, 5
20, 25, 384.23, 5
21, 45, 201.26, 5
22, 24, 118.94, 5
23, 24, 389.81, 5
24, 47, 253.21, 5
24, 28, 17.61, 5
24, 45, 494.86, 5
25, 38, 436.78, 5
25, 35, 174.04, 5
26, 34, 323.18, 5
26, 37, 51.77, 5
26, 40, 248.74, 5
26, 30, 397.53, 5
26, 47, 246.21, 5
27, 48, 127.67, 5
27, 44, 217.13, 5
27, 29, 107.31, 5
28, 34, 220.45, 5
28, 30, 273.38, 5
29, 40, 421.08, 5
29, 32, 318.16, 5
29, 31, 420.81, 5
29, 46, 264.65, 5
29, 33, 61.14, 5
30, 39, 125.38, 5
31, 49, 392.71, 5
32, 49, 84.79, 5
32, 36, 245.18, 5
33, 42, 405.87, 5
34, 37, 129.06, 5
35, 39, 317.42, 5
35, 49, 283.37, 5
37, 40, 354.67, 5
41, 48, 449.69, 5
41, 43, 81.01, 5
42, 44, 400.08, 5
43, 45, 160.26, 5
43, 49, 188.37, 5
44, 47, 314.32, 5
46, 49, 362.04, 5
