BlockId, ParentId, creatorId, Arrival Time, Cpu-Type, Network-Type, Block-Size
0, -1, -1, 0.00, 1, 1, 8
24, 0, 23, 16.00, 1, 0, 8
71, 24, 21, 20.28, 1, 1, 16
124, 71, 30, 21.46, 0, 0, 32
185, 124, 28, 44.92, 0, 0, 40
235, 185, 27, 47.69, 1, 1, 288
287, 235, 26, 58.98, 1, 0, 80
289, 235, 9, 59.20, 1, 1, 80
306, 289, 9, 63.94, 1, 1, 464
390, 306, 14, 85.61, 1, 1, 816
352, 306, 40, 85.67, 1, 1, 816
417, 390, 41, 91.90, 0, 0, 1712
491, 417, 15, 94.16, 1, 0, 1768
519, 491, 27, 97.42, 1, 1, 1696
503, 491, 39, 98.35, 1, 1, 1712
533, 491, 45, 100.00, 1, 1, 1632
564, 503, 23, 103.95, 1, 0, 1320
633, 564, 35, 116.55, 1, 0, 1504
657, 633, 39, 118.39, 1, 1, 1536
729, 657, 37, 123.04, 1, 0, 1480
766, 729, 38, 124.96, 0, 0, 1432
804, 766, 48, 125.90, 0, 1, 1360
855, 804, 16, 129.58, 1, 0, 1280
929, 855, 31, 131.26, 1, 0, 1488
992, 929, 18, 134.00, 1, 1, 1408
1025, 992, 45, 145.68, 1, 1, 1752
1028, 992, 11, 146.80, 0, 1, 1752
1092, 1025, 27, 148.67, 1, 1, 1680
1137, 1092, 26, 153.30, 1, 0, 1672
1125, 1092, 18, 154.95, 1, 1, 1648
1158, 1137, 40, 156.12, 1, 1, 1632
1227, 1158, 15, 158.42, 1, 0, 1576
1261, 1227, 40, 161.30, 1, 1, 1376
1317, 1261, 26, 169.47, 1, 0, 1472
1334, 1261, 14, 170.03, 1, 1, 1512
1376, 1317, 45, 179.05, 1, 1, 1480
1425, 1376, 23, 183.46, 1, 0, 1568
1443, 1376, 15, 184.14, 1, 0, 1576
1469, 1425, 21, 187.18, 1, 1, 1424
1501, 1469, 21, 188.72, 1, 1, 1344
1508, 1469, 14, 188.85, 1, 1, 1384
1577, 1501, 37, 205.16, 1, 0, 1312
1649, 1577, 34, 206.29, 0, 0, 1872
1603, 1577, 24, 206.42, 1, 0, 1856
1698, 1603, 49, 211.70, 1, 0, 1560
1697, 1603, 31, 212.57, 1, 0, 1560
1746, 1698, 44, 216.70, 0, 0, 1536
1733, 1698, 21, 217.62, 1, 1, 1536
1788, 1746, 15, 220.96, 1, 0, 1696
1801, 1788, 15, 222.13, 1, 0, 1632
1851, 1801, 14, 228.03, 1, 1, 1472
1886, 1801, 38, 229.13, 0, 0, 1464
1932, 1886, 9, 233.48, 1, 1, 1744
1977, 1932, 39, 245.50, 1, 1, 1480
2026, 1977, 1, 251.91, 1, 0, 1568
2033, 1977, 20, 252.03, 0, 1, 1568
2093, 2026, 34, 253.56, 0, 0, 1488
2080, 2026, 15, 256.17, 1, 0, 1480
2114, 2093, 39, 257.83, 1, 1, 1496
2157, 2114, 23, 260.82, 1, 0, 1336
2181, 2114, 16, 261.95, 1, 0, 1368
2227, 2157, 43, 266.85, 0, 0, 1480
2262, 2227, 14, 270.74, 1, 1, 1568
2340, 2262, 48, 273.44, 0, 1, 1424
2319, 2262, 47, 275.49, 0, 0, 1424
2362, 2340, 25, 277.64, 1, 1, 1256
2421, 2362, 9, 279.04, 1, 1, 1480
2494, 2421, 7, 304.32, 0, 0, 1344
2508, 2494, 6, 306.29, 1, 0, 1944
2529, 2494, 41, 306.61, 0, 0, 1936
2594, 2529, 31, 317.98, 1, 0, 1536
2556, 2529, 25, 318.16, 1, 1, 1520
2643, 2556, 3, 322.68, 0, 0, 1696
2682, 2643, 1, 325.65, 1, 0, 1728
2722, 2682, 6, 336.10, 1, 0, 1520
2768, 2722, 1, 337.81, 1, 0, 1464
2791, 2722, 3, 339.58, 0, 0, 1528
2829, 2768, 6, 350.88, 1, 0, 1408
2796, 2768, 9, 350.95, 1, 1, 1384
2826, 2768, 21, 351.30, 1, 1, 1424
2871, 2829, 24, 353.48, 1, 0, 1792
2911, 2871, 1, 358.82, 1, 0, 1496
2964, 2911, 24, 365.61, 1, 0, 1480
3046, 2964, 31, 367.90, 1, 0, 1552
3029, 2964, 25, 369.67, 1, 1, 1544
3093, 3029, 39, 378.70, 1, 1, 1408
3130, 3093, 26, 380.86, 1, 0, 1560
3193, 3130, 15, 385.18, 1, 0, 1408
3232, 3193, 16, 401.88, 1, 0, 1496
3277, 3232, 36, 416.71, 0, 1, 1800
3309, 3277, 23, 421.71, 1, 0, 1816
3364, 3309, 25, 425.56, 1, 1, 1512
3441, 3364, 24, 429.16, 1, 0, 1440
3468, 3441, 17, 429.95, 0, 1, 1472
3549, 3468, 31, 443.12, 1, 0, 1432
3576, 3549, 40, 454.69, 1, 1, 1640
3646, 3576, 49, 457.06, 1, 0, 1648
3675, 3646, 6, 467.90, 1, 0, 1384
3695, 3646, 24, 468.62, 1, 0, 1424
3710, 3695, 39, 471.67, 1, 1, 1712
3701, 3675, 6, 471.75, 1, 0, 1616
3748, 3695, 13, 471.77, 0, 0, 1728
3796, 3710, 27, 476.93, 1, 1, 1376
3829, 3796, 15, 481.32, 1, 0, 1616
3856, 3829, 9, 484.52, 1, 1, 1552
3904, 3856, 1, 496.11, 1, 0, 1360
