Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 35, 478.75, 5
0, 18, 97.85, 5
0, 39, 297.62, 5
0, 32, 85.71, 5
1, 32, 413.27, 5
1, 12, 375.30, 5
1, 13, 257.18, 5
1, 37, 343.83, 5
1, 40, 326.88, 5
1, 43, 162.40, 5
2, 4, 304.22, 100
2, 49, 486.87, 5
2, 24, 138.43, 5
3, 17, 342.15, 5
3, 37, 379.27, 5
3, 31, 200.45, 5
3, 26, 405.42, 5
3, 7, 478.73, 100
4, 43, 411.29, 5
4, 20, 472.83, 5
5, 41, 410.58, 5
5, 46, 425.90, 5
5, 14, 158.97, 5
6, 13, 220.92, 5
6, 22, 117.06, 5
6, 12, 191.29, 5
6, 38, 54.89, 5
6, 34, 255.02, 5
7, 13, 479.46, 5
7, 46, 492.83, 5
8, 29, 15.98, 5
8, 23, 328.72, 5
8, 45, 210.22, 5
9, 47, 426.17, 5
9, 36, 179.40, 5
9, 34, 129.05, 5
9, 38, 326.18, 5
10, 24, 41.33, 5
10, 39, 37.08, 5
10, 29, 466.64, 5
11, 15, 152.23, 5
11, 44, 87.73, 5
11, 12, 414.73, 5
12, 49, 53.14, 5
12, 26, 396.27, 5
12, 37, 369.51, 5
13, 36, 496.82, 5
13, 15, 180.40, 5
13, 21, 255.51, 5
14, 27, 150.50, 5
14, 29, 266.05, 5
14, 33, 151.59, 5
14, 42, 442.17, 5
15, 26, 437.72, 5
15, 40, 480.19, 5
15, 21, 72.20, 5
16, 42, 52.24, 5
16, 30, 318.80, 5
16, 21, 302.60, 5
17, 43, 482.00, 5
17, 37, 221.71, 5
17, 44, 306.08, 5
18, 22, 423.01, 5
18, 47, 93.68, 5
18, 19, 326.77, 5
18, 28, 493.79, 5
18, 27, 470.96, 5
19, 21, 257.02, 5
19, 35, 96.42, 5
20, 48, 208.62, 5
20, 31, 459.40, 5
20, 38, 153.10, 5
20, 26, 454.23, 5
20, 24, 471.47, 5
21, 45, 465.76, 5
21, 40, 318.35, 5
22, 31, 379.95, 5
22, 24, 374.72, 5
22, 29, 33.59, 5
23, 45, 270.85, 5
23, 42, 81.87, 5
23, 32, 452.10, 5
24, 38, 189.04, 5
24, 25, 441.56, 5
25, 28, 164.56, 5
25, 27, 427.45, 5
26, 47, 276.06, 5
26, 37, 218.01, 5
27, 32, 254.97, 5
27, 35, 81.30, 5
27, 36, 400.97, 5
28, 34, 39.62, 5
28, 44, 71.76, 5
29, 30, 333.20, 5
30, 39, 307.77, 5
30, 40, 155.62, 5
30, 32, 49.30, 5
30, 38, 243.56, 5
31, 49, 89.18, 5
31, 48, 102.56, 5
33, 37, 416.69, 5
33, 36, 32.93, 5
34, 41, 266.23, 5
34, 48, 309.03, 5
34, 35, 343.62, 5
35, 39, 475.31, 5
36, 39, 10.44, 5
38, 48, 368.52, 5
39, 47, 254.35, 5
40, 44, 466.55, 5
40, 45, 403.55, 5
41, 46, 348.13, 5
42, 46, 92.89, 5
42, 45, 496.74, 5
